kepoi_name,koi_period,koi_prad,koi_depth,planet_prob
K04763.01,56.446465,1.57,147.9,0.9991175838810843
K02206.01,1.834277283,1.64,286.5,0.9991160054954491
K04032.05,7.23524221,0.82,60.0,0.9991140622741229
K03374.02,34.1086562,1.95,133.8,0.9991125401929261
K01537.01,10.19154678,1.39,61.3,0.9991102644359692
K04273.01,17.3731821,1.31,71.7,0.9990984654731458
K03448.01,32.510844,2.62,361.9,0.9990962906179465
K05333.01,20.5477769,1.67,253.8,0.9990922619047619
K01151.05,21.7203362,0.8,87.8,0.9990261874919503
K00298.02,57.3840375,1.62,241.7,0.99898967601908
K05748.01,29.9371143,1.19,194.3,0.9989843059552453
K04827.01,31.1920226,1.65,447.8,0.9989843059552453
K01574.03,5.83393857,1.98,134.4,0.9989402495466102
K00777.01,40.4195037,7.51,6256.0,0.998938186951699
K02656.01,6.77367892,1.33,150.7,0.9989291967019267
K03339.01,23.1334494,2.55,456.3,0.9987858603564125
K05327.01,5.43361347,2.09,1421.0,0.9987718375693836
K02935.01,27.8813154,1.54,209.2,0.9987645340344727
K04149.02,14.708641,1.82,130.6,0.9987349265664028
K01473.01,23.02028478,7.58,5077.8,0.9985694617028495
K06707.01,43.535891,1.86,576.6,0.9985671914529984
K03451.01,10.90752977,1.58,186.0,0.9984875092219425
K03007.01,11.1916199,1.47,166.4,0.9984874077902922
K04323.01,11.49589567,1.59,108.3,0.9984801644128632
K05553.01,120.938669,2.32,782.1,0.9983333333333333
K01082.04,9.6550473,1.45,313.1,0.9983333333333333
K04302.01,5.53312006,1.05,53.1,0.9983333333333333
K05007.01,14.5168151,1.82,86.0,0.9983333333333333
K02220.04,7.66462913,1.6,114.1,0.9983333333333333
K03283.02,20.5718107,1.34,379.0,0.9983333333333333
K00734.02,70.2780911,2.54,781.6,0.9983333333333333
K04520.01,9.3335486,1.69,71.2,0.9983333333333333
K01359.02,104.8205868,6.45,3920.1,0.9983333333333333
K00141.01,2.624234833,5.11,2607.0,0.9983333333333333
K00332.02,6.86674226,0.79,47.2,0.9983333333333333
K02380.01,6.35705314,1.59,272.2,0.9983333333333333
K00687.01,4.17838675,3.13,316.0,0.9983333333333333
K02135.02,20.1890396,1.39,112.1,0.9983264264050117
K00924.01,39.4759093,4.06,1012.6,0.9982420668551104
K00379.02,23.1375919,1.83,114.0,0.998210719759406
K02603.01,73.711039,1.77,136.7,0.998210158982016
K02124.01,42.3375799,1.45,354.8,0.9982026023445651
K04653.01,19.9778599,1.07,83.4,0.9981718496528178
K03037.01,5.4654174,1.23,219.5,0.9981598549034549
K01758.01,5.59728249,3.28,1407.3,0.9980441507035988
K01597.01,7.79668781,2.44,361.3,0.9980304535019328
K01328.01,80.9669561,5.04,4733.0,0.9979449289772191
K03086.01,174.731515,3.0,1179.9,0.997923895636989
K02357.01,2.42088277,2.27,223.3,0.997908968224637
K02992.01,82.6595174,2.03,1270.7,0.9978874507936633
K05831.01,10.552241908,1.75,954.0,0.9977402862985685
K04467.01,2.94242323,1.42,293.3,0.9977256792287468
K04630.01,44.6966177,2.46,257.3,0.9977180835524393
K03073.01,7.40985182,1.18,201.1,0.9977166228454571
K04840.01,10.4716194,1.74,123.9,0.997715162138475
K00928.01,2.494170338,2.42,863.7,0.9977093193105463
K03190.01,8.95294046,0.86,44.0,0.9977055214723927
K05098.01,100.345648,1.57,372.3,0.997699678644464
