kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_num_transits,koi_steff,koi_slogg,koi_srad,koi_kepmag
8868649,K03927.01,,FALSE POSITIVE,4.44737112,133.84048,19.45,224.4,2.06,0.978,93.0,307.0,5472.0,4.382,0.981,14.016
9715939,K03690.01,,FALSE POSITIVE,12.893018017,141.611199,3.30029,16032.8,62.52,1.241,453.0,56.0,6387.0,4.178,1.408,15.517
6887030,K07795.01,,CANDIDATE,5.44085762,134.29408,2.119,137.5,0.97,0.735,9.3,246.0,5519.0,4.59,0.762,14.81
4751083,K03691.01,,FALSE POSITIVE,4.532416322,135.6589,3.2864,34953.0,62.25,1.183,175.6,97.0,6306.0,4.283,1.281,16.028
4751083,K03691.02,,FALSE POSITIVE,2.26631937,133.3865546,3.16,,,,,,,,,16.028
5903301,K03692.01,,FALSE POSITIVE,1.160153553,132.145331,2.16452,12302.5,60.47,1.258,552.8,1051.0,6200.0,4.161,1.382,15.149
7695087,K03693.01,,FALSE POSITIVE,4.032760214,133.301891,2.7194,10803.4,378.61,1.224,150.9,283.0,4969.0,2.899,9.433,14.734
6200709,K03694.01,,FALSE POSITIVE,3.723552982,134.94613,3.5632,40143.0,18.83,0.629,145.7,172.0,6063.0,4.51,0.89,16.72
8323764,K03767.01,,CANDIDATE,6.714247798,134.31703,3.3304,32213.0,14.78,0.557,145.9,92.0,5159.0,4.508,0.8,17.376
7013923,K07801.01,,FALSE POSITIVE,2.21396079,132.5689,3.452,119.4,0.87,0.143,9.6,469.0,4922.0,4.505,0.823,15.844
5360082,K03768.01,,FALSE POSITIVE,11.35501209,133.20478,14.557,19675.0,8.0,0.473,221.4,118.0,4594.0,4.679,0.567,14.772
6543683,K03769.01,,FALSE POSITIVE,1.195515251,132.303851,5.0834,8054.4,49.33,1.281,309.1,1136.0,6040.0,4.271,1.155,13.998
5008245,K03770.01,,CANDIDATE,2.60720833,131.84844,2.6452,3149.7,7.31,0.644,185.3,35.0,6366.0,4.352,1.236,14.103
10555365,K03771.01,,FALSE POSITIVE,5.80184753,131.77347,3.9551,22143.0,14.0,0.478,118.1,74.0,5687.0,4.426,0.921,16.605
5481426,K03772.01,,FALSE POSITIVE,2.38404983,133.43927,3.2849,312732.0,66.14,0.611,195.3,264.0,5780.0,4.438,1.0,19.319
7983756,K03846.01,,FALSE POSITIVE,5.24078259,136.54913,5.238,592.6,24.73,1.223,58.1,253.0,6192.0,4.503,0.917,14.483
7289165,K03847.01,,FALSE POSITIVE,5.26641416,131.69998,2.4404,223.8,2.62,0.774,37.8,255.0,6338.0,4.087,1.602,12.859
12784167,K03848.01,Kepler-1522 b,CONFIRMED,1.847892736,132.19915,1.8904,323.3,1.51,0.036,53.3,722.0,5763.0,4.557,0.842,14.216
8949316,K03849.01,,FALSE POSITIVE,0.604358764,131.68577,1.0423,38731.0,23.28,1.197,236.8,144.0,3569.0,4.82,0.427,16.182
8912730,K03850.01,,FALSE POSITIVE,11.3775281,132.5848,12.918,1651.3,82.26,1.415,38.2,120.0,6943.0,4.162,1.66,13.93
9784230,K03851.01,,FALSE POSITIVE,0.7981968,131.570334,2.22035,257616.0,62.38,0.67,453.9,545.0,5780.0,4.438,1.0,17.579
11466960,K03917.01,,FALSE POSITIVE,0.695954898,131.89905,1.469,318.1,2.58,0.103,8.5,1924.0,6737.0,4.243,1.425,13.496
3124420,K03918.01,,FALSE POSITIVE,0.948951607,132.468516,4.3809,458463.0,115.31,0.959,437.1,659.0,5780.0,4.438,1.0,18.241
4649440,K03919.01,,FALSE POSITIVE,19.37070781,147.66803,2.2466,653.2,108.54,1.2,38.4,67.0,5321.0,3.416,4.335,12.956
2437488,K03920.01,,FALSE POSITIVE,14.46993942,141.81105,7.455,1235.3,85.84,1.027,41.9,186.0,4735.0,2.715,9.043,14.962
10083623,K03921.01,,FALSE POSITIVE,1.278555003,131.529071,1.4247,1478.0,5.19,0.979,93.8,886.0,5636.0,4.557,0.827,15.643
11253711,K01972.02,Kepler-1031 b,CONFIRMED,1.226223959,132.6827,2.1689,56.1,1.0,0.005,18.9,1072.0,5855.0,4.148,1.34,13.8
8043052,K03695.01,,FALSE POSITIVE,2.244600029,133.46529,1.9204,8611.0,27.47,1.185,42.6,596.0,5256.0,4.502,0.802,14.731
5435816,K03696.01,,FALSE POSITIVE,181.8521773,251.877795,5.7725,27559.0,46.38,1.189,293.8,7.0,6063.0,4.476,1.012,15.684
8559589,K03697.01,,FALSE POSITIVE,223.1127475,140.947135,8.9683,11538.8,46.33,1.266,224.5,6.0,6211.0,4.389,1.056,14.38
4372765,K03698.01,,FALSE POSITIVE,15.64064161,140.08502,6.4524,273309.0,77.18,0.522,206.3,30.0,6517.0,4.279,1.374,18.231
9489524,K02029.03,Kepler-352 d,CONFIRMED,6.8873113,132.0711,2.214,85.3,0.72,0.489,8.1,189.0,5208.0,4.563,0.772,12.957
10268903,K03773.01,,FALSE POSITIVE,1.103978,131.573418,0.74,,,,,562.0,,,,17.362
7017437,K07802.01,,FALSE POSITIVE,43.8496474,157.7544,2.217,452.3,21.42,0.02,8.3,31.0,4893.0,2.644,10.363,13.457
7220320,K03775.01,,FALSE POSITIVE,0.752158047,131.793035,2.42733,37878.8,106.66,1.157,510.0,824.0,5770.0,3.844,2.221,14.082
9291378,K03776.01,,FALSE POSITIVE,3.796488133,135.15079,11.0659,3007.6,40.83,1.306,193.4,302.0,6137.0,4.46,1.018,15.534
4075067,K03777.01,,CANDIDATE,17.7476059,139.3464,5.066,877.0,146.63,1.25,7.6,63.0,8992.0,3.535,4.832,11.5
4949524,K03852.01,,FALSE POSITIVE,1.233076007,132.49795,12.506,1392.4,31.39,1.312,129.3,1087.0,5602.0,4.571,0.817,15.402
2697935,K03853.01,,FALSE POSITIVE,21.5135234,132.3356,77.983,1583.8,534.47,2.441,171.5,31.0,5088.0,3.508,3.318,10.63
6531143,K07784.01,,FALSE POSITIVE,19.4444573,147.9093,5.509,182.3,1.53,0.634,7.1,59.0,6278.0,4.425,1.081,15.835
3550434,K03854.01,,FALSE POSITIVE,1.1910489,132.076408,1.3738,1391.1,22.76,1.257,46.1,1123.0,5089.0,4.58,0.693,15.637
2558370,K03855.01,,FALSE POSITIVE,0.546248198,131.585311,2.1081,114528.0,54.23,0.946,263.1,1136.0,5780.0,4.438,1.0,18.55
12301181,K02059.02,,CANDIDATE,2.18565886,132.45418,1.966,35.6,0.44,0.394,11.1,582.0,4997.0,4.598,0.746,12.906
5397166,K03856.01,,FALSE POSITIVE,1.811966339,132.27828,3.792,408.1,95.19,1.24,36.3,746.0,5904.0,3.602,3.348,13.493
7024530,K03922.01,,FALSE POSITIVE,66.1539783,156.97153,5.896,6951.0,9.69,0.873,57.7,9.0,6077.0,4.471,0.999,15.52
5015459,K03923.01,,FALSE POSITIVE,158.3226379,251.75032,2.1881,4863.0,25.41,1.323,34.5,6.0,4340.0,4.67,0.572,15.557
11709124,K00435.04,Kepler-154 e,CONFIRMED,3.93276627,134.64964,2.9403,234.9,1.5,0.37,30.7,324.0,5688.0,4.415,0.971,14.534
8505920,K02094.02,Kepler-1090 b,CONFIRMED,198.680859,270.66535,8.282,645.4,2.79,0.746,16.6,7.0,5330.0,4.366,1.013,15.001
1433980,K03924.01,,FALSE POSITIVE,1.592634161,132.328769,8.9488,155156.0,100.2,0.877,1207.6,389.0,6574.0,4.061,1.768,14.915
2438490,K03699.01,,FALSE POSITIVE,3.31577795,131.53883,4.2349,94567.0,27.77,0.633,124.6,101.0,5528.0,4.516,0.849,17.772
3838496,K03700.01,,FALSE POSITIVE,2.990252395,133.110629,7.8462,216437.0,89.85,1.117,541.7,210.0,5780.0,4.438,1.0,17.9
6470521,K03701.01,,FALSE POSITIVE,2.08043378,131.827041,7.708,6861.2,510.48,5.106,289.1,645.0,6377.0,4.399,1.119,13.858
2449090,K03702.01,,FALSE POSITIVE,4.944046127,134.192012,4.50334,112503.0,54.29,0.964,537.2,123.0,5780.0,4.438,1.0,16.237
5652260,K03703.01,,FALSE POSITIVE,4.464565251,132.311502,4.0221,74112.0,43.21,1.046,286.4,140.0,5743.0,4.553,0.853,17.296
2569494,K03704.01,,FALSE POSITIVE,1.523298835,132.32762,5.9083,195071.0,38.95,0.41,174.4,281.0,5311.0,4.469,0.866,17.38
12405950,K03778.01,,FALSE POSITIVE,3.539631353,132.774997,1.5372,1229.7,39.34,1.091,163.5,267.0,7021.0,3.759,2.629,12.305
5206233,K03779.01,,FALSE POSITIVE,6.195861785,134.23422,2.6078,3509.8,215.89,3.38,83.5,180.0,5608.0,4.573,0.813,15.431
7031066,K07803.01,,FALSE POSITIVE,0.566805514,131.8162,4.367,85.3,0.82,0.027,25.1,2366.0,5115.0,4.439,0.917,14.943
6775985,K03780.01,,FALSE POSITIVE,27.961084,133.1759,3.8741,6268.2,21.5,1.02,106.0,4.0,6770.0,4.249,1.361,14.069
11357192,K03782.01,,FALSE POSITIVE,186.5168116,169.64687,3.1968,5752.4,37.5,0.972,126.9,5.0,5018.0,3.639,2.99,13.529
9533489,K03783.01,,FALSE POSITIVE,197.1455327,300.176978,2.1145,5664.0,72.16,1.251,56.8,6.0,7214.0,4.093,1.935,12.962
11825057,K03857.01,,FALSE POSITIVE,0.532087933,131.972409,3.45028,510366.0,74.83,0.279,1069.5,0.0,5780.0,4.438,1.0,18.852
12306699,K03858.01,,FALSE POSITIVE,3.204222652,133.82223,2.7952,898.4,23.55,1.258,45.5,418.0,5139.0,4.609,0.741,15.341
9692336,K03859.01,,FALSE POSITIVE,0.687898282,131.595979,3.96401,293505.0,55.58,0.337,1571.6,0.0,5780.0,4.438,1.0,17.49
9641008,K03860.01,,FALSE POSITIVE,2.178154774,132.02433,3.5302,662.6,19.46,1.223,89.2,616.0,5515.0,4.624,0.712,14.489
8588377,K03861.01,,FALSE POSITIVE,0.99466172,131.63284,1.576,1370.5,31.84,1.244,21.5,1351.0,5750.0,4.332,1.021,14.997
3644601,K03862.01,,FALSE POSITIVE,359.00688,295.8649,32.16,2015.8,28.57,1.263,35.3,4.0,5715.0,4.537,0.834,15.164
4242692,K03928.01,Kepler-1531 b,CONFIRMED,1.138548215,132.46205,2.1482,66.2,1.45,0.545,31.5,1178.0,6520.0,4.01,1.713,13.194
8781480,K03929.01,,FALSE POSITIVE,121.0598037,159.3454,3.112,1563.0,1680.99,1.2,16.6,24.0,3942.0,1.101,60.688,13.353
6783732,K07790.01,,FALSE POSITIVE,0.721335207,131.57505,1.509,31.8,0.54,0.103,12.0,1857.0,6328.0,4.489,0.948,13.982
11607176,K03930.01,,FALSE POSITIVE,3.28274272,132.64464,8.9,292.8,1.85,0.967,68.2,413.0,5741.0,4.533,0.82,14.518
